Day,Time,Website,Hop No,IP,Time1,Time2,Time3
09 Apr,16:00:02,www.washington.edu,4,193.62.92.125,1.233,1.275,1.203
09 Apr,16:00:02,www.washington.edu,5,10.11.1.0,1.358,1.497,1.434
09 Apr,16:00:02,www.washington.edu,6,146.97.141.116,4.127,4.279,4.221
09 Apr,16:00:02,www.washington.edu,7,146.97.38.49,6.104,5.309,5.153
09 Apr,16:00:02,www.washington.edu,8,146.97.33.61,4.812,4.724,4.607
09 Apr,16:00:02,www.washington.edu,9,72.14.205.74,4.464,4.609,4.444
09 Apr,16:00:02,www.bijt.net,1,192.168.25.1,1.236,1.186,1.147
09 Apr,16:00:02,www.bijt.net,2,139.222.0.1,4.667,7.949,10.352
09 Apr,16:00:02,www.bijt.net,3,10.0.0.1,4.916,8.002,12.192
09 Apr,16:00:02,www.bijt.net,4,193.62.92.125,1.985,1.950,1.882
09 Apr,16:00:02,www.bijt.net,5,10.11.1.0,2.164,2.126,2.090
09 Apr,16:00:02,www.bijt.net,6,146.97.141.116,4.556,5.046,4.996
09 Apr,16:00:02,www.bijt.net,7,146.97.38.49,4.942,5.075,4.847
09 Apr,16:00:02,www.bijt.net,8,146.97.33.61,4.957,4.736,4.847
09 Apr,16:00:02,www.bijt.net,9,146.97.35.194,4.797,4.792,5.050
09 Apr,16:00:02,www.bijt.net,10,212.187.216.237,5.362,5.890,5.830
09 Apr,16:00:02,www.bijt.net,13,154.54.76.30,7.162,7.229,7.387
09 Apr,16:00:02,www.bijt.net,14,154.54.75.150,5.769,5.743,5.795
09 Apr,16:00:02,www.bijt.net,15,154.54.167.69,74.503,74.710,74.853
09 Apr,16:00:02,www.bijt.net,16,154.54.170.69,79.164,79.208,79.256
09 Apr,16:00:02,www.bijt.net,17,154.54.172.170,92.898,92.569,92.711
09 Apr,16:00:02,www.bijt.net,19,154.54.40.249,112.144,112.197,112.340
09 Apr,16:00:02,www.bijt.net,20,154.54.165.26,134.673,134.574,134.118
09 Apr,16:00:02,www.bijt.net,21,154.54.166.58,133.996,133.477,133.802
09 Apr,16:00:02,www.bijt.net,22,154.54.44.86,139.037,140.396,139.131
09 Apr,16:00:02,www.bijt.net,23,154.54.27.118,139.135,139.174,139.309
09 Apr,16:00:02,www.bijt.net,24,154.54.86.41,137.358,136.628,137.235
09 Apr,16:00:02,www.bijt.net,25,38.104.84.15,143.749,143.436,144.256
09 Apr,16:00:02,www.bijt.net,26,104.171.226.68,143.072,142.883,142.846
09 Apr,16:00:02,www.bijt.net,27,172.80.0.167,142.454,142.520,142.461
09 Apr,16:00:02,www.ntua.gr,1,192.168.25.1,0.808,0.535,0.577
09 Apr,16:00:02,www.ntua.gr,2,139.222.0.1,5.140,7.386,9.703
09 Apr,16:00:02,www.ntua.gr,3,10.0.0.1,6.287,8.697,15.662
09 Apr,16:00:02,www.ntua.gr,4,193.62.92.125,1.748,1.349,1.520
09 Apr,16:00:02,www.ntua.gr,5,10.11.1.0,1.856,1.817,1.779
09 Apr,16:00:02,www.ntua.gr,6,146.97.141.116,4.588,4.429,4.342
09 Apr,16:00:02,www.ntua.gr,7,146.97.38.49,4.597,4.558,4.492
09 Apr,16:00:02,www.ntua.gr,8,146.97.33.5,5.007,5.359,5.312
09 Apr,16:00:02,www.ntua.gr,14,62.40.124.43,50.615,50.505,50.496
09 Apr,16:00:02,www.ntua.gr,15,62.217.100.72,59.712,70.522,60.159
09 Apr,16:00:02,www.ntua.gr,16,62.217.96.169,74.928,61.114,61.915
