Day,Time,Website,Hop No,IP,Time1,Time2,Time3
09 Apr,13:00:02,www.harenet.ad.jp,14,62.115.136.235,24.533,21.718,23.530
09 Apr,13:00:02,www.harenet.ad.jp,15,62.115.137.137,157.412,160.683,158.842
09 Apr,13:00:02,www.harenet.ad.jp,16,62.115.139.221,241.627,238.110,162.597
09 Apr,13:00:02,www.harenet.ad.jp,17,62.115.140.25,225.185,225.858,225.587
09 Apr,13:00:02,www.harenet.ad.jp,18,213.248.82.234,238.475,238.328,228.661
09 Apr,13:00:02,www.harenet.ad.jp,20,211.125.119.102,244.825,244.489,247.668
09 Apr,13:00:02,www.harenet.ad.jp,21,211.125.114.65,253.627,254.579,239.599
09 Apr,16:00:02,www.washington.edu,1,192.168.25.1,0.568,0.509,0.427
09 Apr,16:00:02,www.washington.edu,2,139.222.0.1,4.427,10.104,6.935
09 Apr,16:00:02,www.washington.edu,3,10.0.0.1,4.265,7.360,10.220
09 Apr,16:00:02,www.washington.edu,4,193.62.92.125,1.473,1.422,1.340
09 Apr,16:00:02,www.washington.edu,5,10.11.1.0,1.361,1.466,1.411
09 Apr,16:00:02,www.washington.edu,6,146.97.141.116,4.105,4.815,4.660
09 Apr,16:00:02,www.washington.edu,7,146.97.38.49,4.665,4.578,4.503
09 Apr,16:00:02,www.washington.edu,8,146.97.33.61,4.542,4.486,5.397
09 Apr,16:00:02,www.washington.edu,9,72.14.205.74,5.400,4.605,4.521
09 Apr,16:00:02,www.bijt.net,1,192.168.25.1,0.632,0.562,0.507
09 Apr,16:00:02,www.bijt.net,2,139.222.0.1,4.334,7.193,15.082
09 Apr,16:00:02,www.bijt.net,3,10.0.0.1,4.503,7.446,10.467
09 Apr,16:00:02,www.bijt.net,4,193.62.92.125,1.443,1.376,1.273
09 Apr,16:00:02,www.bijt.net,5,10.11.1.0,1.431,1.366,1.437
09 Apr,16:00:02,www.bijt.net,6,146.97.141.116,10.655,10.416,10.354
09 Apr,16:00:02,www.bijt.net,7,146.97.38.49,7.985,7.179,7.116
09 Apr,16:00:02,www.bijt.net,8,146.97.33.61,4.486,4.575,4.509
09 Apr,16:00:02,www.bijt.net,9,146.97.35.194,4.596,4.600,4.721
09 Apr,16:00:02,www.bijt.net,10,212.187.216.237,4.859,4.724,4.686
09 Apr,16:00:02,www.bijt.net,14,154.54.72.182,5.919,5.868,5.840
09 Apr,16:00:02,www.bijt.net,15,154.54.94.45,78.762,74.243,78.688
09 Apr,16:00:02,www.bijt.net,16,154.54.169.226,82.064,83.405,81.866
09 Apr,16:00:02,www.bijt.net,17,154.54.169.185,86.990,86.870,86.870
09 Apr,16:00:02,www.bijt.net,18,154.54.7.129,93.581,93.942,93.892
09 Apr,16:00:02,www.bijt.net,19,154.54.166.73,104.818,104.785,104.584
09 Apr,16:00:02,www.bijt.net,20,154.54.7.233,108.068,112.316,112.479
09 Apr,16:00:02,www.bijt.net,21,154.54.165.30,133.853,133.578,133.667
09 Apr,16:00:02,www.bijt.net,22,154.54.166.58,128.846,133.831,133.566
09 Apr,16:00:02,www.bijt.net,23,154.54.45.162,139.373,139.370,144.201
09 Apr,16:00:02,www.bijt.net,24,154.54.27.118,143.473,142.675,142.645
09 Apr,16:00:02,www.bijt.net,25,154.54.86.41,140.471,140.266,136.027
09 Apr,16:00:02,www.bijt.net,26,38.104.84.15,146.788,146.619,148.185
09 Apr,16:00:02,www.bijt.net,27,104.171.226.68,142.544,146.863,147.093
09 Apr,16:00:02,www.bijt.net,28,172.80.0.167,146.378,146.353,146.381
09 Apr,16:00:02,www.ntua.gr,1,192.168.25.1,0.463,0.385,0.635
09 Apr,16:00:02,www.ntua.gr,2,139.222.0.1,15.495,4.810,12.409
09 Apr,16:00:02,www.ntua.gr,3,10.0.0.1,4.022,7.603,11.212
09 Apr,16:00:02,www.ntua.gr,4,193.62.92.125,1.246,1.514,1.463
09 Apr,16:00:02,www.ntua.gr,5,10.11.1.0,1.436,1.553,1.507
09 Apr,16:00:02,www.ntua.gr,6,146.97.141.116,4.107,4.914,4.931
09 Apr,16:00:02,www.ntua.gr,7,146.97.38.49,37.118,36.337,36.019
09 Apr,16:00:02,www.ntua.gr,8,146.97.33.5,10.406,10.354,10.257
09 Apr,16:00:02,www.ntua.gr,14,62.40.124.43,50.448,50.511,50.604
09 Apr,16:00:02,www.ntua.gr,15,62.217.100.72,59.852,59.896,63.261
09 Apr,16:00:02,www.ntua.gr,16,62.217.96.169,61.841,61.877,61.287
09 Apr,16:00:02,www.harenet.ad.jp,1,192.168.25.1,0.778,0.718,0.672
09 Apr,16:00:02,www.harenet.ad.jp,2,139.222.0.1,7.125,4.033,9.893
09 Apr,16:00:02,www.harenet.ad.jp,4,193.62.92.125,1.622,1.539,1.436
09 Apr,16:00:02,www.harenet.ad.jp,5,10.11.1.0,1.440,1.462,1.421
09 Apr,16:00:02,www.harenet.ad.jp,6,146.97.141.116,4.196,4.503,4.176
09 Apr,16:00:02,www.harenet.ad.jp,7,146.97.38.49,4.602,4.832,4.739
09 Apr,16:00:02,www.harenet.ad.jp,8,146.97.33.61,6.071,4.769,4.729
09 Apr,16:00:02,www.harenet.ad.jp,9,146.97.35.194,4.598,4.921,4.450
09 Apr,16:00:02,www.harenet.ad.jp,11,62.115.142.244,6.782,6.627,6.676
09 Apr,16:00:02,www.harenet.ad.jp,12,62.115.138.216,4.838,4.934,5.019
09 Apr,16:00:02,www.harenet.ad.jp,14,62.115.124.57,21.571,23.799,21.204
09 Apr,16:00:02,www.harenet.ad.jp,15,62.115.139.204,158.232,159.316,160.264
09 Apr,16:00:02,www.harenet.ad.jp,16,62.115.142.37,230.259,227.204,227.697
09 Apr,16:00:02,www.harenet.ad.jp,17,62.115.140.25,229.804,247.831,168.539
09 Apr,16:00:02,www.harenet.ad.jp,18,213.248.82.234,237.976,231.872,237.789
09 Apr,16:00:02,www.harenet.ad.jp,20,211.125.114.65,244.243,244.008,228.010
09 Apr,20:00:02,www.washington.edu,1,192.168.25.1,0.633,0.609,0.527
09 Apr,20:00:02,www.washington.edu,2,139.222.0.1,7.232,4.089,10.108
09 Apr,20:00:02,www.washington.edu,4,193.62.92.125,1.449,1.419,1.319
09 Apr,20:00:02,www.washington.edu,5,10.11.1.0,1.543,1.336,1.432
09 Apr,20:00:02,www.washington.edu,6,146.97.141.116,4.105,4.329,4.275
09 Apr,20:00:02,www.washington.edu,7,146.97.38.49,4.502,4.497,4.460
09 Apr,20:00:02,www.washington.edu,8,146.97.33.5,7.642,7.558,7.505
09 Apr,20:00:02,www.washington.edu,11,62.40.125.18,76.873,77.931,77.865
09 Apr,20:00:02,www.washington.edu,12,163.253.1.116,147.426,146.805,148.131
09 Apr,20:00:02,www.washington.edu,13,163.253.1.3,147.965,147.934,147.942
09 Apr,20:00:02,www.washington.edu,14,163.253.1.139,148.672,147.118,147.097
09 Apr,20:00:02,www.washington.edu,15,163.253.2.17,148.400,147.701,147.669
09 Apr,20:00:02,www.washington.edu,16,163.253.2.74,162.461,162.416,162.386
09 Apr,20:00:02,www.washington.edu,17,163.253.1.245,146.204,148.561,148.208
09 Apr,20:00:02,www.washington.edu,18,163.253.1.242,147.128,147.819,147.851
09 Apr,20:00:02,www.washington.edu,19,163.253.1.171,146.590,146.447,152.622
09 Apr,20:00:02,www.washington.edu,20,163.253.1.157,146.292,146.266,146.253
09 Apr,20:00:02,www.washington.edu,21,64.57.28.54,145.151,145.024,145.112
09 Apr,20:00:02,www.washington.edu,25,128.95.0.66,146.557,151.008,147.940
09 Apr,20:00:02,www.bijt.net,1,192.168.25.1,0.708,0.646,0.532
09 Apr,20:00:02,www.bijt.net,2,139.222.0.1,4.245,9.934,12.883
09 Apr,20:00:02,www.bijt.net,4,193.62.92.125,1.274,1.582,1.522
09 Apr,20:00:02,www.bijt.net,5,10.11.1.0,1.694,1.639,1.597
09 Apr,20:00:02,www.bijt.net,6,146.97.141.116,4.283,4.306,4.417
09 Apr,20:00:02,www.bijt.net,7,146.97.38.49,4.863,4.639,5.055
09 Apr,20:00:02,www.bijt.net,8,146.97.33.61,5.219,5.171,5.125
09 Apr,20:00:02,www.bijt.net,9,146.97.35.194,5.077,4.768,4.707
09 Apr,20:00:02,www.bijt.net,10,212.187.216.237,4.918,4.816,4.876
09 Apr,20:00:02,www.bijt.net,14,154.54.75.150,5.934,5.887,5.870
09 Apr,20:00:02,www.bijt.net,15,154.54.167.29,79.707,80.230,79.158
09 Apr,20:00:02,www.bijt.net,16,154.54.169.222,83.834,82.560,82.539
09 Apr,20:00:02,www.bijt.net,17,154.54.169.197,87.154,87.334,87.172
09 Apr,20:00:02,www.bijt.net,18,154.54.6.221,93.461,89.486,93.511
09 Apr,20:00:02,www.bijt.net,19,154.54.165.133,100.211,104.423,100.280
09 Apr,20:00:02,www.bijt.net,20,154.54.31.93,108.032,112.496,112.516
09 Apr,20:00:02,www.bijt.net,21,154.54.165.26,133.381,133.538,129.481
09 Apr,20:00:02,www.bijt.net,22,154.54.166.70,128.831,129.367,129.236
09 Apr,20:00:02,www.bijt.net,23,154.54.44.86,143.057,143.066,139.738
09 Apr,20:00:02,www.bijt.net,24,154.54.3.70,142.911,142.734,138.530
09 Apr,20:00:02,www.bijt.net,25,154.54.86.41,140.354,140.550,140.419
09 Apr,20:00:02,www.bijt.net,26,38.104.84.15,146.815,142.262,146.584
09 Apr,20:00:02,www.bijt.net,27,104.171.226.68,147.198,147.243,146.825
09 Apr,20:00:02,www.bijt.net,28,172.80.0.167,142.416,146.471,146.446
09 Apr,20:00:02,www.ntua.gr,1,192.168.25.1,0.520,0.409,0.314
09 Apr,20:00:02,www.ntua.gr,2,139.222.0.1,4.270,12.734,15.632
09 Apr,20:00:02,www.ntua.gr,3,10.0.0.1,10.156,13.308,16.535
09 Apr,20:00:02,www.ntua.gr,4,193.62.92.125,1.707,1.639,1.577
09 Apr,20:00:02,www.ntua.gr,5,10.11.1.0,1.674,1.606,1.523
09 Apr,20:00:02,www.ntua.gr,6,146.97.141.116,4.317,4.262,4.192
09 Apr,20:00:02,www.ntua.gr,7,146.97.38.49,6.831,5.665,5.708
09 Apr,20:00:02,www.ntua.gr,8,146.97.33.5,5.328,5.192,5.321
09 Apr,20:00:02,www.ntua.gr,14,62.40.124.43,50.380,50.475,51.659
09 Apr,20:00:02,www.ntua.gr,15,62.217.100.72,60.105,59.927,60.376
09 Apr,20:00:02,www.ntua.gr,16,62.217.96.169,61.548,61.165,61.342
09 Apr,20:00:02,www.harenet.ad.jp,1,192.168.25.1,0.644,0.529,0.473
09 Apr,20:00:02,www.harenet.ad.jp,2,139.222.0.1,11.477,14.441,27.675
09 Apr,20:00:02,www.harenet.ad.jp,3,10.0.0.1,12.043,3.986,8.664
09 Apr,20:00:02,www.harenet.ad.jp,4,193.62.92.125,1.460,1.388,1.341
09 Apr,20:00:02,www.harenet.ad.jp,5,10.11.1.0,1.827,1.785,1.728
09 Apr,20:00:02,www.harenet.ad.jp,6,146.97.141.116,4.280,4.414,4.230
09 Apr,20:00:02,www.harenet.ad.jp,7,146.97.38.49,4.323,5.075,5.000
09 Apr,20:00:02,www.harenet.ad.jp,8,146.97.33.61,4.790,4.669,4.612
09 Apr,20:00:02,www.harenet.ad.jp,9,146.97.35.194,4.566,4.492,4.577
09 Apr,20:00:02,www.harenet.ad.jp,11,62.115.142.244,6.807,6.693,6.607
09 Apr,20:00:02,www.harenet.ad.jp,12,62.115.138.216,5.416,5.100,5.057
09 Apr,20:00:02,www.harenet.ad.jp,13,62.115.133.239,11.404,12.428,12.036
09 Apr,20:00:02,www.harenet.ad.jp,14,62.115.136.235,24.370,21.490,23.704
09 Apr,20:00:02,www.harenet.ad.jp,16,62.115.138.201,224.997,304.099,226.550
09 Apr,20:00:02,www.harenet.ad.jp,17,62.115.140.25,234.388,234.004,234.687
09 Apr,20:00:02,www.harenet.ad.jp,18,213.248.82.234,237.071,237.231,242.069
09 Apr,20:00:02,www.harenet.ad.jp,20,62.115.140.25,234.445,237.794,243.891
10 Apr,06:00:02,www.washington.edu,1,192.168.25.1,0.440,0.393,0.408
10 Apr,06:00:02,www.washington.edu,2,139.222.0.1,5.496,8.619,14.306
10 Apr,06:00:02,www.washington.edu,3,10.0.0.1,4.125,7.063,10.423
10 Apr,06:00:02,www.washington.edu,4,193.62.92.125,1.387,1.284,1.228
10 Apr,06:00:02,www.washington.edu,5,10.11.1.0,1.381,1.347,1.308
10 Apr,06:00:02,www.washington.edu,6,146.97.141.116,4.270,4.363,4.313
10 Apr,06:00:02,www.washington.edu,7,146.97.38.49,4.649,4.677,4.598
10 Apr,06:00:02,www.washington.edu,8,146.97.33.61,4.705,4.648,4.615
10 Apr,06:00:02,www.washington.edu,9,72.14.205.74,4.560,4.679,4.634
10 Apr,06:00:02,www.bijt.net,1,192.168.25.1,0.721,0.628,0.588
10 Apr,06:00:02,www.bijt.net,2,139.222.0.1,4.151,7.053,14.558
10 Apr,06:00:02,www.bijt.net,3,10.0.0.1,8.830,11.748,26.523
10 Apr,06:00:02,www.bijt.net,4,193.62.92.125,1.638,1.591,1.416
10 Apr,06:00:02,www.bijt.net,5,10.11.1.0,1.774,1.732,1.678
10 Apr,06:00:02,www.bijt.net,6,146.97.141.116,4.390,4.309,4.169
10 Apr,06:00:02,www.bijt.net,7,146.97.38.49,7.089,6.901,6.838
10 Apr,06:00:02,www.bijt.net,8,146.97.33.61,4.850,5.029,4.981
10 Apr,06:00:02,www.bijt.net,9,146.97.35.194,5.273,4.661,4.758
10 Apr,06:00:02,www.bijt.net,10,212.187.216.237,5.132,5.145,5.094
10 Apr,06:00:02,www.bijt.net,14,154.54.72.182,5.659,5.856,5.806
10 Apr,06:00:02,www.bijt.net,15,154.54.167.29,77.065,78.664,74.352
10 Apr,06:00:02,www.bijt.net,16,154.54.169.222,79.233,83.373,83.471
10 Apr,06:00:02,www.bijt.net,17,154.54.169.185,86.839,86.857,82.692
10 Apr,06:00:02,www.bijt.net,18,154.54.6.221,93.422,93.372,93.336
10 Apr,06:00:02,www.bijt.net,19,154.54.166.73,104.532,100.212,104.688
10 Apr,06:00:02,www.bijt.net,20,154.54.31.93,112.677,112.477,112.449
10 Apr,06:00:02,www.bijt.net,21,154.54.165.30,133.526,133.485,133.660
10 Apr,06:00:02,www.bijt.net,22,154.54.166.58,133.365,133.692,133.387
10 Apr,06:00:02,www.bijt.net,23,154.54.45.162,143.910,139.499,143.789
10 Apr,06:00:02,www.bijt.net,24,154.54.3.70,138.265,142.998,143.011
10 Apr,06:00:02,www.bijt.net,25,154.54.86.41,140.585,140.437,140.448
10 Apr,06:00:02,www.bijt.net,26,38.104.84.15,141.986,146.547,146.553
10 Apr,06:00:02,www.bijt.net,27,104.171.226.68,142.728,146.950,147.056
10 Apr,06:00:02,www.bijt.net,28,172.80.0.167,146.415,146.482,146.556
10 Apr,06:00:02,www.ntua.gr,1,192.168.25.1,0.599,0.535,0.462
10 Apr,06:00:02,www.ntua.gr,2,139.222.0.1,4.260,7.063,11.095
10 Apr,06:00:02,www.ntua.gr,3,10.0.0.1,3.991,6.959,9.978
10 Apr,06:00:02,www.ntua.gr,4,193.62.92.125,1.378,1.272,1.239
10 Apr,06:00:02,www.ntua.gr,5,10.11.1.0,1.735,1.609,1.994
10 Apr,06:00:02,www.ntua.gr,6,146.97.141.116,4.756,4.596,4.567
10 Apr,06:00:02,www.ntua.gr,7,146.97.38.49,4.582,4.935,4.894
10 Apr,06:00:02,www.ntua.gr,8,146.97.33.5,5.597,5.466,5.312
10 Apr,06:00:02,www.ntua.gr,14,62.40.124.43,51.413,50.632,50.911
10 Apr,06:00:02,www.ntua.gr,15,62.217.100.72,63.452,60.162,59.950
10 Apr,06:00:02,www.ntua.gr,16,62.217.96.169,61.413,61.409,61.307
10 Apr,06:00:02,www.harenet.ad.jp,1,192.168.25.1,1.102,1.043,0.995
10 Apr,06:00:02,www.harenet.ad.jp,3,10.0.0.1,9.662,14.026,4.494
10 Apr,06:00:02,www.harenet.ad.jp,4,193.62.92.125,1.482,1.439,1.396
10 Apr,06:00:02,www.harenet.ad.jp,5,10.11.1.0,1.620,1.578,1.534
10 Apr,06:00:02,www.harenet.ad.jp,6,146.97.141.116,4.530,4.512,4.457
10 Apr,06:00:02,www.harenet.ad.jp,7,146.97.38.49,4.637,5.198,5.113
10 Apr,06:00:02,www.harenet.ad.jp,8,146.97.33.61,5.030,4.924,4.872
10 Apr,06:00:02,www.harenet.ad.jp,9,146.97.35.194,4.824,4.754,4.610
10 Apr,06:00:02,www.harenet.ad.jp,10,62.115.175.106,4.833,4.760,4.677
10 Apr,06:00:02,www.harenet.ad.jp,11,62.115.142.244,7.893,7.823,7.741
10 Apr,06:00:02,www.harenet.ad.jp,12,62.115.139.142,5.172,5.126,5.052
10 Apr,06:00:02,www.harenet.ad.jp,13,62.115.135.25,12.201,11.296,11.376
10 Apr,06:00:02,www.harenet.ad.jp,14,62.115.138.227,24.474,21.464,24.387
10 Apr,06:00:02,www.harenet.ad.jp,15,62.115.140.55,160.534,160.190,224.969
10 Apr,06:00:02,www.harenet.ad.jp,16,62.115.139.221,240.143,225.035,226.971
10 Apr,06:00:02,www.harenet.ad.jp,17,62.115.140.25,226.047,226.240,232.887
10 Apr,06:00:02,www.harenet.ad.jp,18,62.115.140.30,242.996,237.628,243.661
10 Apr,13:00:02,www.washington.edu,1,192.168.25.1,0.487,0.384,0.378
10 Apr,13:00:02,www.washington.edu,2,139.222.0.1,4.092,7.548,10.185
10 Apr,13:00:02,www.washington.edu,3,10.0.0.1,9.869,13.011,4.632
10 Apr,13:00:02,www.washington.edu,4,193.62.92.125,1.758,1.690,1.637
10 Apr,13:00:02,www.washington.edu,5,10.11.1.0,1.897,1.825,1.767
10 Apr,13:00:02,www.washington.edu,6,146.97.141.116,4.155,4.222,4.147
10 Apr,13:00:02,www.washington.edu,7,146.97.38.49,4.527,5.041,4.894
10 Apr,13:00:02,www.washington.edu,9,72.14.205.74,4.950,4.701,4.569
10 Apr,13:00:02,www.bijt.net,1,192.168.25.1,1.036,0.983,0.929
10 Apr,13:00:02,www.bijt.net,2,139.222.0.1,4.753,11.969,9.087
10 Apr,13:00:02,www.bijt.net,3,10.0.0.1,11.943,5.674,8.962
10 Apr,13:00:02,www.bijt.net,4,193.62.92.125,1.589,1.537,1.499
10 Apr,13:00:02,www.bijt.net,5,10.11.1.0,1.656,1.618,1.581
10 Apr,13:00:02,www.bijt.net,6,146.97.141.116,4.261,4.513,4.453
10 Apr,13:00:02,www.bijt.net,7,146.97.38.49,4.689,4.635,4.563
10 Apr,13:00:02,www.bijt.net,8,146.97.33.61,4.822,4.705,4.654
10 Apr,13:00:02,www.bijt.net,9,146.97.35.194,4.873,4.802,4.754
10 Apr,13:00:02,www.bijt.net,10,212.187.216.237,4.959,4.886,4.909
10 Apr,13:00:02,www.bijt.net,14,154.54.75.150,6.078,6.037,5.859
10 Apr,13:00:02,www.bijt.net,15,154.54.94.45,78.918,73.996,78.887
10 Apr,13:00:02,www.bijt.net,16,154.54.169.226,82.421,83.794,83.169
10 Apr,13:00:02,www.bijt.net,17,154.54.169.185,86.995,87.446,87.351
10 Apr,13:00:02,www.bijt.net,18,154.54.7.129,93.243,93.211,88.806
10 Apr,13:00:02,www.bijt.net,19,154.54.165.133,100.260,104.852,104.812
10 Apr,13:00:02,www.bijt.net,20,154.54.7.233,112.027,111.298,116.059
10 Apr,13:00:02,www.bijt.net,21,154.54.165.30,137.486,133.252,133.133
10 Apr,13:00:02,www.bijt.net,22,154.54.166.58,137.094,136.847,136.755
10 Apr,13:00:02,www.bijt.net,23,154.54.45.162,140.201,139.579,143.103
10 Apr,13:00:02,www.bijt.net,24,154.54.3.70,143.053,142.947,138.865
10 Apr,13:00:02,www.bijt.net,25,154.54.86.41,136.485,140.558,136.075
10 Apr,13:00:02,www.bijt.net,26,38.104.84.15,146.775,148.236,147.574
10 Apr,13:00:02,www.bijt.net,27,104.171.226.68,146.715,146.647,146.889
10 Apr,13:00:02,www.bijt.net,28,172.80.0.167,146.037,146.199,141.702
10 Apr,13:00:02,www.ntua.gr,1,192.168.25.1,0.515,0.505,0.444
10 Apr,13:00:02,www.ntua.gr,2,139.222.0.1,5.316,8.649,11.451
10 Apr,13:00:02,www.ntua.gr,4,193.62.92.125,1.278,1.438,1.382
10 Apr,13:00:02,www.ntua.gr,5,10.11.1.0,1.520,1.588,1.523
10 Apr,13:00:02,www.ntua.gr,6,146.97.141.116,4.392,4.323,4.243
10 Apr,13:00:02,www.ntua.gr,7,146.97.38.49,4.935,4.513,4.543
10 Apr,13:00:02,www.ntua.gr,8,146.97.33.5,14.746,14.556,14.453
10 Apr,13:00:02,www.ntua.gr,14,62.40.124.43,50.480,50.652,50.592
10 Apr,13:00:02,www.ntua.gr,15,62.217.100.72,60.165,66.319,59.932
10 Apr,13:00:02,www.ntua.gr,16,62.217.96.169,61.215,61.006,61.406
10 Apr,13:00:02,www.harenet.ad.jp,1,192.168.25.1,0.810,0.749,0.700
10 Apr,13:00:02,www.harenet.ad.jp,2,139.222.0.1,7.209,4.357,10.080
10 Apr,13:00:02,www.harenet.ad.jp,3,10.0.0.1,13.956,7.284,10.553
10 Apr,13:00:02,www.harenet.ad.jp,4,193.62.92.125,1.473,1.427,1.362
10 Apr,13:00:02,www.harenet.ad.jp,5,10.11.1.0,1.589,1.540,1.494
10 Apr,13:00:02,www.harenet.ad.jp,6,146.97.141.116,4.106,4.401,4.480
10 Apr,13:00:02,www.harenet.ad.jp,7,146.97.38.49,7.970,6.967,6.881
10 Apr,13:00:02,www.harenet.ad.jp,8,146.97.33.61,4.404,6.553,6.481
10 Apr,13:00:02,www.harenet.ad.jp,9,146.97.35.194,4.800,4.811,4.526
10 Apr,13:00:02,www.harenet.ad.jp,11,62.115.142.244,7.193,7.070,6.872
10 Apr,13:00:02,www.harenet.ad.jp,12,62.115.139.142,5.180,5.108,4.959
10 Apr,13:00:02,www.harenet.ad.jp,13,62.115.133.239,11.277,12.628,12.411
10 Apr,13:00:02,www.harenet.ad.jp,14,62.115.138.227,24.831,24.928,24.340
10 Apr,13:00:02,www.harenet.ad.jp,16,62.115.140.15,228.366,240.701,235.981
10 Apr,13:00:02,www.harenet.ad.jp,17,62.115.140.30,413.546,225.525,414.496
10 Apr,13:00:02,www.harenet.ad.jp,18,62.115.140.25,330.807,233.249,243.457
10 Apr,13:00:02,www.harenet.ad.jp,20,213.248.82.234,241.464,226.994,243.870
10 Apr,13:00:02,www.harenet.ad.jp,23,211.125.119.106,254.904,254.974,244.805
10 Apr,16:00:02,www.washington.edu,1,192.168.25.1,0.958,0.879,0.848
10 Apr,16:00:02,www.washington.edu,2,139.222.0.1,4.238,7.074,9.946
10 Apr,16:00:02,www.washington.edu,3,10.0.0.1,4.568,7.943,11.124
10 Apr,16:00:02,www.washington.edu,4,193.62.92.125,1.311,1.220,1.640
10 Apr,16:00:02,www.washington.edu,5,10.11.1.0,1.907,1.857,1.824
10 Apr,16:00:02,www.washington.edu,6,146.97.141.116,4.491,4.283,4.226
10 Apr,16:00:02,www.washington.edu,7,146.97.38.49,4.351,4.505,4.463
10 Apr,16:00:02,www.washington.edu,8,146.97.33.61,4.680,4.506,4.727
10 Apr,16:00:02,www.washington.edu,9,72.14.205.74,4.700,4.609,4.469
10 Apr,16:00:02,www.bijt.net,1,192.168.25.1,1.310,1.258,1.231
10 Apr,16:00:02,www.bijt.net,3,10.0.0.1,16.395,19.364,22.403
10 Apr,16:00:02,www.bijt.net,4,193.62.92.125,1.623,1.597,1.571
10 Apr,16:00:02,www.bijt.net,5,10.11.1.0,1.986,1.961,1.936
10 Apr,16:00:02,www.bijt.net,6,146.97.141.116,4.739,4.564,4.513
10 Apr,16:00:02,www.bijt.net,7,146.97.38.49,4.509,4.594,4.561
10 Apr,16:00:02,www.bijt.net,8,146.97.33.61,5.476,6.448,6.413
10 Apr,16:00:02,www.bijt.net,9,146.97.35.194,6.388,4.725,4.616
10 Apr,16:00:02,www.bijt.net,10,212.187.216.237,5.295,5.200,5.168
10 Apr,16:00:02,www.bijt.net,14,154.54.75.150,5.849,5.805,6.007
10 Apr,16:00:02,www.bijt.net,15,154.54.94.45,78.955,78.733,78.595
10 Apr,16:00:02,www.bijt.net,16,154.54.169.226,77.658,78.982,77.515
10 Apr,16:00:02,www.bijt.net,17,154.54.169.197,87.191,87.104,86.873
10 Apr,16:00:02,www.bijt.net,18,154.54.6.221,89.161,93.377,93.298
10 Apr,16:00:02,www.bijt.net,19,154.54.165.133,100.227,100.181,104.584
10 Apr,16:00:02,www.bijt.net,20,154.54.7.233,116.540,115.847,111.879
10 Apr,16:00:02,www.bijt.net,21,154.54.165.30,146.532,182.362,145.770
10 Apr,16:00:02,www.bijt.net,22,154.54.166.70,137.059,137.151,132.373
10 Apr,16:00:02,www.bijt.net,23,154.54.44.86,143.175,143.894,143.659
10 Apr,16:00:02,www.bijt.net,24,154.54.27.118,142.746,142.843,138.475
10 Apr,16:00:02,www.bijt.net,25,154.54.86.41,140.227,140.354,140.549
10 Apr,16:00:02,www.bijt.net,26,38.104.84.15,146.466,146.651,142.125
10 Apr,16:00:02,www.bijt.net,27,104.171.226.68,146.550,146.478,146.576
10 Apr,16:00:02,www.bijt.net,28,172.80.0.167,145.978,141.386,145.887
10 Apr,16:00:02,www.ntua.gr,1,192.168.25.1,1.530,1.418,1.344
10 Apr,16:00:02,www.ntua.gr,2,139.222.0.1,5.222,11.216,7.894
10 Apr,16:00:02,www.ntua.gr,3,10.0.0.1,30.493,25.628,33.353
10 Apr,16:00:02,www.ntua.gr,4,193.62.92.125,1.834,1.747,1.676
10 Apr,16:00:02,www.ntua.gr,5,10.11.1.0,1.836,1.770,1.705
10 Apr,16:00:02,www.ntua.gr,6,146.97.141.116,4.412,4.622,4.542
10 Apr,16:00:02,www.ntua.gr,7,146.97.38.49,7.575,6.834,6.787
10 Apr,16:00:02,www.ntua.gr,8,146.97.33.5,5.288,5.475,5.389
10 Apr,16:00:02,www.ntua.gr,14,62.40.124.43,50.570,50.653,50.801
10 Apr,16:00:02,www.ntua.gr,15,62.217.100.72,63.938,60.466,60.474
10 Apr,16:00:02,www.ntua.gr,16,62.217.96.169,61.381,61.990,61.702
10 Apr,16:00:02,www.harenet.ad.jp,1,192.168.25.1,0.906,0.820,0.752
10 Apr,16:00:02,www.harenet.ad.jp,2,139.222.0.1,4.547,7.331,14.481
10 Apr,16:00:02,www.harenet.ad.jp,3,10.0.0.1,35.859,29.235,12.343
10 Apr,16:00:02,www.harenet.ad.jp,4,193.62.92.125,1.445,1.386,1.291
10 Apr,16:00:02,www.harenet.ad.jp,5,10.11.1.0,1.746,1.694,1.511
10 Apr,16:00:02,www.harenet.ad.jp,6,146.97.141.116,4.671,4.466,4.327
10 Apr,16:00:02,www.harenet.ad.jp,7,146.97.38.49,4.456,4.843,4.785
10 Apr,16:00:02,www.harenet.ad.jp,8,146.97.33.61,4.734,5.071,5.018
10 Apr,16:00:02,www.harenet.ad.jp,9,146.97.35.194,4.976,5.167,4.963
10 Apr,16:00:02,www.harenet.ad.jp,10,62.115.175.106,4.707,4.810,4.637
10 Apr,16:00:02,www.harenet.ad.jp,11,62.115.142.244,8.086,8.001,7.836
10 Apr,16:00:02,www.harenet.ad.jp,13,62.115.133.239,11.369,12.828,12.370
10 Apr,16:00:02,www.harenet.ad.jp,14,62.115.138.227,23.845,23.709,21.508
10 Apr,16:00:02,www.harenet.ad.jp,16,62.115.142.37,239.056,225.986,235.960
10 Apr,16:00:02,www.harenet.ad.jp,17,62.115.140.25,225.017,225.312,334.220
10 Apr,16:00:02,www.harenet.ad.jp,18,213.248.82.234,236.912,235.981,236.922
